Approved Symbol	Approved Name	Previous Symbols	Synonyms	Chromosome
SNX5P1	sorting nexin 5 pseudogene 1			4q21.1
SNX5P2	sorting nexin 5 pseudogene 2			12q23.1
SNX6	sorting nexin 6			14q13
SNX6P1	sorting nexin 6 pseudogene 1			19p12
SNX7	sorting nexin 7			1p21
SNX8	sorting nexin 8		Mvp1	7p22.3
SNX9	sorting nexin 9		SH3PX1, SDP1, SH3PXD3A	6q25.1-q26
SNX10	sorting nexin 10			7p15.2
SNX11	sorting nexin 11			17q21.32
SNX12	sorting nexin 12			Xq13.1
SNX13	sorting nexin 13		RGS-PX1, KIAA0713	7p21.1
SNX14	sorting nexin 14		RGS-PX2	6q15
SNX15	sorting nexin 15			11q12
SNX16	sorting nexin 16			8q21.13
SNX17	sorting nexin 17		KIAA0064	2p23-p22
SNX18	sorting nexin 18	SNAG1	SH3PX2, SH3PXD3B	5q11.2
SNX18P1Y	sorting nexin 18 pseudogene 1, Y-linked			Yq11.1
SNX18P2	sorting nexin 18 pseudogene 2			9q22.31
SNX18P3	sorting nexin 18 pseudogene 3			9p13.1
SNX18P4	sorting nexin 18 pseudogene 4			9p12
SNX18P5	sorting nexin 18 pseudogene 5			9p11.1
SNX18P6	sorting nexin 18 pseudogene 6			9q13
SNX18P7	sorting nexin 18 pseudogene 7			9p13.3
SNX18P8	sorting nexin 18 pseudogene 8			9p12
SNX18P9	sorting nexin 18 pseudogene 9			9q21.11
SNX18P10	sorting nexin 18 pseudogene 10			21p11.2
SNX18P11	sorting nexin 18 pseudogene 11			21p11.2
SNX18P12	sorting nexin 18 pseudogene 12			21p11.2
SNX18P13	sorting nexin 18 pseudogene 13			21q11.2
SNX18P14	sorting nexin 18 pseudogene 14			2q11.1
SNX18P15	sorting nexin 18 pseudogene 15			1q21.1
SNX18P16	sorting nexin 18 pseudogene 16			1q21.1
SNX18P17	sorting nexin 18 pseudogene 17			1q21.1
SNX18P18	sorting nexin 18 pseudogene 18			1q21.1
SNX18P19	sorting nexin 18 pseudogene 19			1q21.1
SNX18P20	sorting nexin 18 pseudogene 20			1q21.1
SNX18P21	sorting nexin 18 pseudogene 21			1q21.1
SNX18P22	sorting nexin 18 pseudogene 22			1q21.1
SNX18P23	sorting nexin 18 pseudogene 23			4p11
SNX18P24	sorting nexin 18 pseudogene 24			4p11
SNX18P25	sorting nexin 18 pseudogene 25			4p11
SNX18P26	sorting nexin 18 pseudogene 26			13q11
SNX18P27	sorting nexin 18 pseudogene 27			8p11.1
SNX19	sorting nexin 19		KIAA0254, CHET8	11q25
SNX19P1	sorting nexin 19 pseudogene 1	SNX19P		21q11.2
SNX19P2	sorting nexin 19 pseudogene 2			13q11
SNX19P3	sorting nexin 19 pseudogene 3			18p11
SNX19P4	sorting nexin 19 pseudogene 4			10q22.1
SNX20	sorting nexin 20		SLIC-1, SLIC1	16q12.1
SNX21	sorting nexin family member 21	C20orf161	dJ337O18.4, SNX-L	20q13.12
SNX22	sorting nexin 22		FLJ13952	15q22.1
SNX24	sorting nexin 24		SBBI31	5q23.2
SNX25	sorting nexin 25		SBBI31	4q35.1
SNX25P1	sorting nexin 25 pseudogene 1			1q32.3
SNX27	sorting nexin family member 27		MY014, KIAA0488, MGC20471	1q21.3
SNX29	sorting nexin 29	RUNDC2A	FLJ12363	16p13.13-p13.12
SNX29P1	sorting nexin 29 pseudogene 1	RUNDC2B		16p12.2
SNX29P2	sorting nexin 29 pseudogene 2	RUNDC2C		16p11.2
SNX30	sorting nexin family member 30		ATG24A	9q33.1
SNX31	sorting nexin 31		MGC39715	8q22.3
SNX32	sorting nexin 32	SNX6B	FLJ30934	11q13.1
SNX33	sorting nexin 33	SH3PX3	MGC32065, SH3PXD3C, SNX30	15q23
SNX33P1	sorting nexin 33 pseudogene 1			19p13.12
SOAT1	sterol O-acyltransferase 1	SOAT, STAT	ACAT	1q25
SOAT2	sterol O-acyltransferase 2		ACAT2	12q13.13
SOAT~withdrawn	symbol withdrawn, see SOAT1			
SOBP	sine oculis binding protein homolog (Drosophila)		FLJ10159	6q21
SOCS1	suppressor of cytokine signaling 1		SOCS-1, SSI-1, JAB, TIP3, Cish1	16p13.13
SOCS2	suppressor of cytokine signaling 2		STATI2, SSI2, SOCS-2, SSI-2, CIS2, Cish2	12q
SOCS2-AS1	SOCS2 antisense RNA 1			12q22
SOCS2P1	suppressor of cytokine signaling 2 pseudogene 1			20q11
SOCS2P2	suppressor of cytokine signaling 2 pseudogene 2			22q11.2
SOCS3	suppressor of cytokine signaling 3		SSI-3, CIS3, SOCS-3, Cish3	17q25.3
SOCS4	suppressor of cytokine signaling 4	SOCS7		14q22.1
SOCS5	suppressor of cytokine signaling 5		KIAA0671, SOCS-5, CIS6, CISH6, Cish5	2p21
SOCS5P1	suppressor of cytokine signaling 5 pseudogene 1			7q21.11
SOCS5P2	suppressor of cytokine signaling 5 pseudogene 2			9q34.3
SOCS5P3	suppressor of cytokine signaling 5 pseudogene 3			3p21.31
SOCS5P4	suppressor of cytokine signaling 5 pseudogene 4			Xq13.1
SOCS5P5	suppressor of cytokine signaling 5 pseudogene 5			6q21
SOCS6	suppressor of cytokine signaling 6	SOCS4	CIS4, SSI4, HSPC060, STATI4, STAI4, Cish4	18q22
SOCS7	suppressor of cytokine signaling 7		NAP4, NCKAP4	17q12
SOD1	superoxide dismutase 1, soluble	ALS, ALS1	IPOA	21q22.11
SOD1P1	superoxide dismutase 1, soluble pseudogene 1			6p12.1
SOD1P2	superoxide dismutase 1, soluble pseudogene 2			16q12.1
SOD1P3	superoxide dismutase 1, soluble pseudogene 3			8q24.13
SOD2	superoxide dismutase 2, mitochondrial			6q25
SOD2P1	superoxide dismutase 2, mitochondrial pseudogene 1			1p21.1
SOD3	superoxide dismutase 3, extracellular		EC-SOD	4p15.2
SOGA1	suppressor of glucose, autophagy associated 1	C20orf117, KIAA0889	dJ132F21.1, FLJ44670, SOGA	20q11.23
SOGA3	SOGA family member 3	C6orf174	dJ403A15.3	6q22.33
SOHLH1	spermatogenesis and oogenesis specific basic helix-loop-helix 1	C9orf157	NOHLH, TEB2, bA100C15.3, bHLHe80, SPATA27	9q34.3
SOHLH2	spermatogenesis and oogenesis specific basic helix-loop-helix 2		FLJ20449, TEB1, bHLHe81, SPATA28	13q13.3
SON	SON DNA binding protein	C21orf50	DBP-5, NREBP, KIAA1019, BASS1, FLJ21099, FLJ33914	21q22.1-q22.2
SONP1	SON pseudogene 1			1q23.1
SORBS1	sorbin and SH3 domain containing 1	SH3D5	FLJ12406, CAP, sh3p12, ponsin, KIAA1296	10q23.33
SORBS2	sorbin and SH3 domain containing 2		ARGBP2, KIAA0777	4q35.1
SORBS3	sorbin and SH3 domain containing 3		SCAM-1, SH3D4, vinexin	8p21.3
SORCS1	sortilin-related VPS10 domain containing receptor 1		sorCS1	10q23-q25
SORCS2	sortilin-related VPS10 domain containing receptor 2		KIAA1329	4p16.1
SORCS3	sortilin-related VPS10 domain containing receptor 3		KIAA1059, SORCS	10q23-q25
SORCS3-AS1	SORCS3 antisense RNA 1			10q25.1
SORD	sorbitol dehydrogenase			15q15-q21.1
SORD2P	sorbitol dehydrogenase 2, pseudogene			15q21.1
SORL1	sortilin-related receptor, L(DLR class) A repeats containing	C11orf32	gp250, LR11, LRP9, SorLA, SorLA-1	11q23.2-q24.4
SORT1	sortilin 1		Gp95, NT3	1p13.3
SOS1	son of sevenless homolog 1 (Drosophila)	GINGF	HGF, GF1	2p21
SOS1-IT1	SOS1 intronic transcript 1 (non-protein coding)			2p22.1
SOS2	son of sevenless homolog 2 (Drosophila)			14q21
SOST	sclerostin		VBCH	17q12-q21
SOSTDC1	sclerostin domain containing 1		DKFZp564D206, USAG1	7p21.2
SOWAHA	sosondowah ankyrin repeat domain family member A	ANKRD43		5q23.3
SOWAHB	sosondowah ankyrin repeat domain family member B	ANKRD56		4q21.1
SOWAHC	sosondowah ankyrin repeat domain family member C	C2orf26, ANKRD57	FLJ21870	2q13
SOWAHD	sosondowah ankyrin repeat domain family member D	ANKRD58		Xq24
SOX1	SRY (sex determining region Y)-box 1			13q34
SOX2	SRY (sex determining region Y)-box 2			3q26.3-q27
SOX2-OT	SOX2 overlapping transcript	SOX2OT	DKFZp761J1324, NCRNA00043	3q26.33
SOX3	SRY (sex determining region Y)-box 3	PHP		Xq27.1
SOX4	SRY (sex determining region Y)-box 4			6p22.3
SOX5	SRY (sex determining region Y)-box 5		L-SOX5, MGC35153	12p12.1
SOX5P	SRY (sex determining region Y)-box 5 pseudogene		SOX29	8q21.3
SOX6	SRY (sex determining region Y)-box 6			11p15.3
SOX7	SRY (sex determining region Y)-box 7			8p22
SOX8	SRY (sex determining region Y)-box 8			16p13.3
SOX9	SRY (sex determining region Y)-box 9	CMD1, CMPD1	SRA1	17q24.3
SOX9-AS1	SOX9 antisense RNA 1		FLJ37644	17q24.3
SOX10	SRY (sex determining region Y)-box 10		DOM, WS4, WS2E	22q13.1
SOX11	SRY (sex determining region Y)-box 11			2p25
SOX12	SRY (sex determining region Y)-box 12	SOX22		20p13
SOX13	SRY (sex determining region Y)-box 13		Sox-13, ICA12, MGC117216	1q32
SOX14	SRY (sex determining region Y)-box 14		SOX28	3q22-q23
SOX15	SRY (sex determining region Y)-box 15	SOX20	SOX27, SOX26	17p13.1
SOX17	SRY (sex determining region Y)-box 17			8q11.23
SOX18	SRY (sex determining region Y)-box 18			20q13.33
SOX21	SRY (sex determining region Y)-box 21		SOX25	13q31-q32
SOX21-AS1	SOX21 antisense RNA 1 (head to head)			13q32.1
SOX30	SRY (sex determining region Y)-box 30			5q33
SOX30P1	SRY (sex determining region Y)-box 30 pseudogene 1			5q33.3
SP1	Sp1 transcription factor			12q13.1
SP2	Sp2 transcription factor		KIAA0048	17q21.3-q22
SP2-AS1	SP2 antisense RNA 1			17q21.32
SP3	Sp3 transcription factor		SPR-2	2q31
SP3P	Sp3 transcription factor pseudogene			13q31.3
SP4	Sp4 transcription factor		SPR-1, HF1B, MGC130008, MGC130009	7p15
SP5	Sp5 transcription factor			2q31
SP6	Sp6 transcription factor		KLF14, Epfn	17q21.32
SP7	Sp7 transcription factor		osterix, OSX	12q13.13
SP8	Sp8 transcription factor			7p21.2
SP9	Sp9 transcription factor		ZNF990	2q31.1
SP100	SP100 nuclear antigen			2q37.1
SP110	SP110 nuclear body protein	IFI41, IFI75		2q37.1
SP140	SP140 nuclear body protein		LYSP100-B, LYSP100-A	2q37.1
SP140L	SP140 nuclear body protein-like			2q37.1
SPA17	sperm autoantigenic protein 17		SP17, CT22	11q24.2
SPA17P1	sperm autoantigenic protein 17 pseudogene 1		Sp17-2	10q22.3
SPACA1	sperm acrosome associated 1		SAMP32	6q15
SPACA3	sperm acrosome associated 3		ALLP17, SLLP1, LYC3, LYZL3, CT54	17q12
SPACA4	sperm acrosome associated 4		SAMP14	19q13.33
SPACA5	sperm acrosome associated 5		SLLP2, LYZL5, LYC5, UNQ6288, dJ54B20.3, PNPK6288	Xp11.3
SPACA5B	sperm acrosome associated 5B			Xp11.3
SPACA6P	sperm acrosome associated 6, pseudogene	NCRNA00085, LINC00085	SPACA6	19q13.41
SPACA6P-AS	SPACA6P antisense RNA	LINC01129		19q13.41
SPACA7	sperm acrosome associated 7	C13orf28		13q34
SPACR~withdrawn	symbol withdrawn, see IMPG1			
SPAG1	sperm associated antigen 1		SP75, FLJ32920, HSD-3.8, TPIS, CT140	8q22
SPAG2~withdrawn	symbol withdrawn, see UAP1			
SPAG4	sperm associated antigen 4		SUN4, CT127	20q11.2
SPAG5	sperm associated antigen 5		DEEPEST, MAP126, hMAP126	17q11.2
SPAG5-AS1	SPAG5 antisense RNA 1			17q11.2
SPAG6	sperm associated antigen 6		Repro-SA-1, pf16, CT141	10p12.31
SPAG7	sperm associated antigen 7		FSA-1, ACRP, MGC20134	17p13.2
SPAG8	sperm associated antigen 8		hSMP-1, HSD-1, BS-84, SPAG3, CT142, CILD28	9p13.3
SPAG9	sperm associated antigen 9		HSS, SYD1, KIAA0516, MGC14967, MGC74461, MGC117291, JLP, PHET, HLC4, PIG6, FLJ13450, FLJ14006, FLJ26141, FLJ34602, CT89	17q21.33
SPAG10~withdrawn	symbol withdrawn, see MFGE8			
SPAG11A	sperm associated antigen 11A		HE2, EDDM2A	8p23.1
SPAG11B	sperm associated antigen 11B		HE2, EP2, EP2C, EP2D, EDDM2B	8p23.1
SPAG16	sperm associated antigen 16		PF20, FLJ22724, DKFZp666P1710, WDR29	2q34
SPAG17	sperm associated antigen 17		FLJ34497, PF6, RP4-776P7.2, CT143	1p12
SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)		HYAL5, PH-20, SPAG15	7q31
SPANXA1	sperm protein associated with the nucleus, X-linked, family member A1	SPANX	NAP-X, SPAN-Xa, SPAN-Xb, CT11.1	Xq27.2
SPANXA2	SPANX family, member A2	SPANX		Xq27.2
SPANXA2-OT1	SPANXA2 overlapping transcript 1	CXorf18	FLJ36186	Xq27.2
SPANXB1	SPANX family, member B1		CT11.2	Xq27.1
SPANXB2	SPANX family, member B2			Xq27.1
SPANXC	SPANX family, member C		CTp11, CT11.3	Xq27.2
SPANXD	SPANX family, member D	SPANXE	CT11.4	Xq27.2
SPANXE~withdrawn	symbol withdrawn, see SPANXD			
SPANXF1	SPANX family, member F1			Xq27.1
SPANXF2	SPANX family, member F2			Xq27.1
SPANXN1	SPANX family, member N1		SPANX-N1, CT11.6	Xq27.3
SPANXN2	SPANX family, member N2		SPANX-N2, CT11.7	Xq27.3
SPANXN3	SPANX family, member N3		SPANX-N3, CT11.8	Xq27.3
SPANXN4	SPANX family, member N4		SPANX-N4, CT11.9	Xq27.3
SPANXN5	SPANX family, member N5		SPANX-N5, CT11.10	Xp11.22
SPANX~withdrawn	symbol withdrawn, see SPANXA1			
SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	ON		5q31-q33
SPARCL1	SPARC-like 1 (hevin)		MAST9	4q22-q25
SPAR~withdrawn	entry withdrawn			
SPAST	spastin	SPG4	FSP2, ADPSP, KIAA1083	2p24-p21
SPATA1	spermatogenesis associated 1		SP-2	1p22.3
SPATA2	spermatogenesis associated 2		KIAA0757, PD1, tamo, PPP1R145	20q13.13
SPATA2L	spermatogenesis associated 2-like	C16orf76	MGC26885, tamo	16q24.3
SPATA2P1	spermatogenesis associated 2 pseudogene 1			13q21.1
SPATA3	spermatogenesis associated 3		TSARG1	2q37.1
SPATA3-AS1	SPATA3 antisense RNA 1 (head to head)			2q37.1
SPATA4	spermatogenesis associated 4		TSARG2, SPEF1B	4q34.2
SPATA5	spermatogenesis associated 5		SPAF, AFG2	4q28.1
SPATA5L1	spermatogenesis associated 5-like 1		MGC5347, FLJ12286	15q15.1
SPATA6	spermatogenesis associated 6		SRF1, FLJ10007, SRF-1	1p32.3
SPATA6L	spermatogenesis associated 6-like	C9orf68	FLJ10058	9p24.2
SPATA7	spermatogenesis associated 7	LCA3	HSD3	14q31.3
SPATA8	spermatogenesis associated 8		MGC44294	15q26
SPATA8-AS1	SPATA8 antisense RNA 1 (head to head)			15q26.2
SPATA9	spermatogenesis associated 9		NYD-SP16, FLJ35906	5q15
SPATA12	spermatogenesis associated 12			3p21.2
SPATA13	spermatogenesis associated 13		FLJ31208, ARHGEF29	13q12.13
SPATA13-AS1	SPATA13 antisense RNA 1			13q12.12
SPATA16	spermatogenesis associated 16		NYD-SP12	3q26.31
SPATA17	spermatogenesis associated 17		IQCH	1q41
SPATA17-AS1	SPATA17 antisense RNA 1			1q41
SPATA18	spermatogenesis associated 18		FLJ32906	4q11
SPATA19	spermatogenesis associated 19		FLJ25851, spergen1, SPAS1, CT132	11q25
SPATA20	spermatogenesis associated 20		FLJ21347, SSP411, Tisp78	17q21.33
SPATA20P1	spermatogenesis associated 20 pseudogene 1			21q22.13
SPATA21	spermatogenesis associated 21		spergen-2, spergen2	1p36.13
SPATA22	spermatogenesis associated 22		NYD-SP20	17p13.3
SPATA24	spermatogenesis associated 24		T6441, CCDC161	5q31.2
SPATA25	spermatogenesis associated 25	C20orf165	dJ337O18.8, TSG23	20q13.12
SPATA31A1	SPATA31 subfamily A, member 1	C9orf36, FAM75A1	DKFZP434B204, C9orf36A, OTTHUMG00000013156	9p12
SPATA31A2	SPATA31 subfamily A, member 2	FAM75A2	OTTHUMG00000013563	9p13.1
SPATA31A3	SPATA31 subfamily A, member 3	FAM75A3	OTTHUMG00000013164, DKFZp434B204	9p12
SPATA31A4	SPATA31 subfamily A, member 4	FAM75A4	OTTHUMG00000066731	9p12
SPATA31A5	SPATA31 subfamily A, member 5	FAM75A5	OTTHUMG00000013204	9p12
SPATA31A6	SPATA31 subfamily A, member 6	FAM75A6	OTTHUMG00000013224	9p11.2
SPATA31A7	SPATA31 subfamily A, member 7	FAM75A7	OTTHUMG00000013196	9q12
SPATA31B1P	SPATA31 subfamily B, member 1, pseudogene	C9orf36B, FAM75B, SPATA31B1	bA388B24.2	9q21.32
SPATA31C1	SPATA31 subfamily C, member 1	FAM75C1	FLJ36055	9q22.1
SPATA31C2	SPATA31 subfamily C, member 2	FAM75C2	DKFZP434M131	9q22.1
SPATA31D1	SPATA31 subfamily D, member 1	FAM75D1	FLJ46321	9q21.32
SPATA31D2P	SPATA31 subfamily D, member 2, pseudogene	FAM75D2P		9q21.32
SPATA31D3	SPATA31 subfamily D, member 3	FAM75D3	FLJ44082	9q21.32
SPATA31D4	SPATA31 subfamily D, member 4	FAM75D4	FLJ43859	9q21.32
SPATA31D5P	SPATA31 subfamily D, member 5, pseudogene	FAM75D5	FLJ43950, FAM75D5P	9q21.32
SPATA31E1	SPATA31 subfamily E, member 1	C9orf79, FAM75E1	FLJ35866	9q22.1-q22.2
SPATA31E2P	SPATA31 subfamily E, member 2, pseudogene	FAM75E2P		15q11.2
SPATA31E3P	SPATA31 subfamily E, member 3, pseudogene	FAM75E3P		15q11.2
SPATA32	spermatogenesis associated 32	C17orf46, TEX34	FLJ25414, AEP2, VAD1.2	17q21.31
SPATA33	spermatogenesis associated 33	C16orf55	FLJ31606	16q24.3
SPATA41	spermatogenesis associated 41 (non-protein coding)		FLJ42289, HSD47	15q26.3
SPATA42	spermatogenesis associated 42 (non-protein coding) 		SRG7, AKNAD1-AS1	1p13.3
SPATA45	spermatogenesis associated 45	C1orf227	LOC149643	1q32.3
SPATC1	spermatogenesis and centriole associated 1		MGC61633, SPATA15, SPERIOLIN	8q24.3
SPATC1L	spermatogenesis and centriole associated 1-like	C21orf56		21q22.3
SPATS1	spermatogenesis associated, serine-rich 1		SPATA8, FLJ25442, SRSP1	6p21.1
SPATS2	spermatogenesis associated, serine-rich 2		SPATA10, SCR59, FLJ13117	12q13.12
SPATS2L	spermatogenesis associated, serine-rich 2-like		DNAPTP6	2q33.1
SPAT~withdrawn	symbol withdrawn, see AGXT			
SPC24	SPC24, NDC80 kinetochore complex component	SPBC24	FLJ90806	19p13.2
SPC25	SPC25, NDC80 kinetochore complex component	SPBC25	MGC22228, AD024	2q31.1
SPCH1~withdrawn	symbol withdrawn, see FOXP2			
SPCS1	signal peptidase complex subunit 1 homolog (S. cerevisiae)		SPC12, HSPC033, YJR010C-A, SPC1	3p21.31
SPCS2	signal peptidase complex subunit 2 homolog (S. cerevisiae)		KIAA0102	11q13.4
SPCS2P1	signal peptidase complex subunit 2 homolog (S. cerevisiae) pseudogene 1	SPCS2P		15q15.2
SPCS2P2	signal peptidase complex subunit 2 homolog (S. cerevisiae) pseudogene 2			10q24.31
SPCS2P3	signal peptidase complex subunit 2 homolog (S. cerevisiae) pseudogene 3			5p15.33
SPCS2P4	signal peptidase complex subunit 2 homolog (S. cerevisiae) pseudogene 4			1p35.3
SPCS3	signal peptidase complex subunit 3 homolog (S. cerevisiae)		FLJ22649, SPC22/23, SPC3, YLR066W, PRO3567	4q34.2
SPDEF	SAM pointed domain containing ETS transcription factor		PDEF, bA375E1.3	6p21.3
SPDL1	spindle apparatus coiled-coil protein 1	CCDC99	FLJ20364, hSpindly	5q35.1
SPDYA	speedy/RINGO cell cycle regulator family member A	SPDY1	SPY1, Ringo3	2p23
SPDYC	speedy/RINGO cell cycle regulator family member C		Ringo2	11q13.1
SPDYE1	speedy/RINGO cell cycle regulator family member E1	WBSCR19	Ringo1, SPDYE	7q11.23
SPDYE2	speedy/RINGO cell cycle regulator family member E2		MGC119295	7q22.1
SPDYE2B	speedy/RINGO cell cycle regulator family member E2B			7q22.1
SPDYE3	speedy/RINGO cell cycle regulator family member E3			7q22.1
SPDYE4	speedy/RINGO cell cycle regulator family member E4			17p13.1
SPDYE5	speedy/RINGO cell cycle regulator family member E5			7q11.23
SPDYE6	speedy/RINGO cell cycle regulator family member E6			7q22.1
SPDYE7P	speedy/RINGO cell cycle regulator family member E7, pseudogene			7q11.23
SPDYE8P	speedy/RINGO cell cycle regulator family member E8, pseudogene			7q11.23
SPDYE9P	speedy/RINGO cell cycle regulator family member E9, pseudogene			7q11.23
SPD~withdrawn	symbol withdrawn, see HOXD13			
SPECC1	sperm antigen with calponin homology and coiled-coil domains 1		HCMOGT-1, FLJ36955, NSP, CYTSB	17p11.2
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1-like		KIAA0376, CYTSA	22q11.23
SPECC1L-ADORA2A	SPECC1L-ADORA2A readthrough (NMD candidate)			22q11.23
SPEF1	sperm flagellar 1	C20orf28	DKFZP434I114, SPEF1A	20p13
SPEF2	sperm flagellar 2		KPL2, FLJ23577, CT122	5p13.2
SPEG	SPEG complex locus	APEG1	MGC12676, KIAA1297, SPEGalpha, SPEGbeta, BPEG	2q35
SPEM1	spermatid maturation 1	C17orf83	FLJ40081	17p13.1
SPEN	spen family transcriptional repressor		KIAA0929, MINT, SHARP, RBM15C	1p36
SPERT	spermatid associated		NURIT, CBY2	13q14.13
SPESP1	sperm equatorial segment protein 1		SP-ESP	15q22.31
SPG1~withdrawn	symbol withdrawn, see L1CAM			
SPG2~withdrawn	symbol withdrawn, see PLP1			
SPG3B	spastic paraplegia 3B			reserved
SPG5A~withdrawn	symbol withdrawn, see CYP7B1			
SPG5B	spastic paraplegia 5B (autosomal recessive)			reserved
SPG6~withdrawn	symbol withdrawn, see NIPA1			
SPG7	spastic paraplegia 7 (pure and complicated autosomal recessive)	CMAR	CAR, SPG5C	16q24.3
SPG8~withdrawn	symbol withdrawn, see KIAA0196			
SPG9	spastic paraplegia 9 (autosomal dominant)			10q23.2-q24.2
SPG10~withdrawn	symbol withdrawn, see KIF5A			
SPG11	spastic paraplegia 11 (autosomal recessive)	KIAA1840	FLJ21439	15q13-q15
SPG12~withdrawn	symbol withdrawn, see RTN2			
SPG13~withdrawn	symbol withdrawn, see HSPD1			
SPG14	spastic paraplegia 14 (autosomal recessive)			3q27-q28
SPG15~withdrawn	symbol withdrawn, see ZFYVE26			
SPG16	spastic paraplegia 16 (complicated, X-linked recessive)			Xq11.2
SPG17~withdrawn	symbol withdrawn, see BSCL2			
SPG18	spastic paraplegia 18 (autosomal dominant)			reserved
SPG19	spastic paraplegia 19 (autosomal dominant)			9q33-q34
SPG20	spastic paraplegia 20 (Troyer syndrome)		KIAA0610, TAHCCP1	13q13.1
SPG20-AS1	SPG20 antisense RNA 1	C13orf43, SPG20OS		13q13.3
SPG21	spastic paraplegia 21 (autosomal recessive, Mast syndrome)		ACP33, GL010, BM-019, MAST	15q21-q22
SPG23	spastic paraplegia 23 (autosomal recessive)			1q24-q32
SPG24	spastic paraplegia 24 (autosomal recessive)			13q14
SPG25	spastic paraplegia 25 (autosomal recessive, with disc herniation)			6q23-q24.1
SPG26~withdrawn	symbol withdrawn, see B4GALNT1			
SPG27	spastic paraplegia 27 (autosomal recessive)			10q22.1-q24.1
SPG28~withdrawn	symbol withdrawn, see DDHD1			
SPG29	spastic paraplegia 29 (autosomal dominant)			1p31.1-p21.1
SPG30~withdrawn	symbol withdrawn, see KIF1A			
SPG32	spastic paraplegia 32 (autosomal recessive)		SPG29	14q12-q21
SPG34	spastic paraplegia 34 (autosomal dominant)			reserved
SPG35~withdrawn	symbol withdrawn, see FA2H			
SPG36	spastic paraplegia 36 (autosomal dominant)			12q23-q24
SPG37	spastic paraplegia 37 (autosomal dominant)			8p21.2-q13.3
SPG38	spastic paraplegia 38 (autosomal dominant, Silver syndrome)			4p16-p15
SPG41	spastic paraplegia 41 (autosomal dominant)			11p14.1-p11.2
SPG42~withdrawn	symbol withdrawn, see SLC33A1			
SPG43~withdrawn	symbol withdrawn, see C19orf12			
SPG45	spastic paraplegia 45 (autosomal recessive)			10q24.3-q25.1
SPG46~withdrawn	symbol withdrawn, see GBA2			
SPG47~withdrawn	symbol withdrawn, see AP4B1			
SPG56	spastic paraplegia 56 (autosomal dominant)			reserved
SPHAR	S-phase response (cyclin related)			1q42.13
SPHK1	sphingosine kinase 1		SPHK	17q25.2
SPHK2	sphingosine kinase 2			19q13.33
SPHKAP	SPHK1 interactor, AKAP domain containing		SKIP	2q36.3
SPI1	Spi-1 proto-oncogene		PU.1, SPI-A, OF, SFPI1, SPI-1	11p12-p11.22
SPIB	Spi-B transcription factor (Spi-1/PU.1 related)		SPI-B	19q13.3-q13.4
SPIC	Spi-C transcription factor (Spi-1/PU.1 related)		MGC40611, SPI-C	12q23
SPICE1	spindle and centriole associated protein 1	CCDC52	SPICE	3q13.2
SPIDR	scaffolding protein involved in DNA repair	KIAA0146		8q11.21
SPIN1	spindlin 1	SPIN		9q22.1
SPIN2A	spindlin family, member 2A	SPIN2	DXF34	Xp11.1
SPIN2B	spindlin family, member 2B		SPIN-2	Xp11.1
SPIN3	spindlin family, member 3			Xp11.22
SPIN4	spindlin family, member 4		FLJ44984	Xq11.1
SPIN4-AS1	SPIN4 antisense RNA 1			Xq11.1
SPINK1	serine peptidase inhibitor, Kazal type 1		Spink3, PCTT, PSTI, TATI	5q32
SPINK2	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)		HUSI-II	4q12
SPINK4	serine peptidase inhibitor, Kazal type 4		PEC-60, MGC133107	9p13.3
SPINK5	serine peptidase inhibitor, Kazal type 5		VAKTI, LEKTI, LETKI, NETS, NS, FLJ21544, FLJ97536, FLJ97596, FLJ99794, DKFZp686K19184	5q31-q32
SPINK6	serine peptidase inhibitor, Kazal type 6		MGC21394, UNQ844, BUSI2	5q32
SPINK7	serine peptidase inhibitor, Kazal type 7 (putative)		ECG2, ECRG2	5q32
SPINK8	serine peptidase inhibitor, Kazal type 8 (putative)			3p21.31
SPINK9	serine peptidase inhibitor, Kazal type 9			5q32
SPINK13	serine peptidase inhibitor, Kazal type 13 (putative)		SPINK5L3, LiESP6, HESPINTOR, MGC149260, HBVDNAPTP1	5q32
SPINK14	serine peptidase inhibitor, Kazal type 14 (putative)		SPINK5L2	5q32
SPINT1	serine peptidase inhibitor, Kunitz type 1		HAI, MANSC2	15q13.3
SPINT2	serine peptidase inhibitor, Kunitz type, 2		Kop, HAI-2	19q13.2
SPINT3	serine peptidase inhibitor, Kunitz type, 3		HKIB9	20q12-q13.2
SPINT4	serine peptidase inhibitor, Kunitz type 4	C20orf137	dJ601O1.1	20q13.12
SPINT5P	serine peptidase inhibitor, Kunitz type 5, pseudogene	C20orf168	dJ447F3.6	20q13.12
SPIRE1	spire-type actin nucleation factor 1		spir-1, KIAA1135	18p11.21
SPIRE2	spire-type actin nucleation factor 2		spir-2, KIAA1832	16q24
SPN	sialophorin		LSN, CD43, GPL115	16p11.2
SPNS1	spinster homolog 1 (Drosophila)		HSpin1, nrs, SPINL, PP2030, SPIN1, LAT	16p11.2
SPNS2	spinster homolog 2 (Drosophila)			17p13.2
SPNS3	spinster homolog 3 (Drosophila)		MGC29671	17p13.2
